YEAR,JOURNAL,TITLE,DOI
2017,Ecology and Evolution,Individual-based analysis of hair corticosterone reveals factors influencing chronic stress in the American pika,10.1002/ece3.3009
2007,Oecologia,"The effects of tree rhizodeposition on soil exoenzyme activity, dissolved organic carbon, and nutrient availability in a subalpine forest ecosystem",10.1007/s00442-007-0804-1
1997,Global Change Biology,Responses of Dryas octopetala to ITEX environmental manipulations: a synthesis with circumpolar comparisons,
1984,Behavioral Ecology and Sociobiology,Sex differences in the ontogeny of social behavior in pikas: possible relationships to dispersal and territoriality,10.1007/BF00292972
2013,Conservation Physiology,Stress hormone concentration in Rocky Mountain populations of the American pika (Ochotona princeps),10.1093/conphys/cot027
2016,Ecology and Evolution,When can we measure stress noninvasively? Postdeposition effects on a fecal stress metric confound a multiregional assessment,10.1002/ece3.1857
2000,Ecological Applications,"Critical loads for inorganic nitrogen deposition in the Colorado Front Range, USA",10.1890/1051-0761(2000)010[1648:CLFIND]2.0.CO;2
2016,Ecology,Soil moisture mediates alpine life form and community productivity responses to warming,10.1890/15-1197.1
2016,Ecology,Plant community and soil chemistry responses to long-term nitrogen inputs drive changes in alpine bacterial communities,10.1890/15-1160.1
2016,Biogeosciences,Iron-bound organic carbon in forest soils: quantification and characterization,10.5194/bg-13-4777-2016
2008,Ecology and Society,Adaptive capacity and traps,10.5751/ES-02716-130240
2008,Ecosystems,Probabilistic Estimate of a Threshold for Eutrophication,10.1007/s10021-008-9145-0
2008,Ecology,Festering food: Chytridiomycete pathogen reduces quality of Daphnia host as a food resource,10.1890/07-1984.1
2008,Ecology Letters,Disturbance-driven changes in the variability of ecological patterns and processes,10.1111/j.1461-0248.2008.01191.x
2008,Freshwater Biology,The rapid effects of a whole-lake reduction of coarse woody debris on fish and benthic macroinvertebrates,10.1111/j.1365-2427.2008.01974.x
2008,Frontiers in Ecology and the Environment,Dam invaders: impoundments facilitate biological invasions into freshwaters,10.1890/070156
2008,Frontiers in Ecology and the Environment,Lakes and streams as sentinels of environmental change in terrestrial and atmospheric processes,10.1890/070140
2009,Ecology and Society,Resilience: Accounting for the noncomputable,10.5751/ES-02819-140113
2009,Freshwater Biology,Behavioural and growth differences between experienced and naïve populations of a native crayfish in the presence of invasive rusty crayfish,10.1111/j.1365-2427.2009.02237.x
2009,American Midland Naturalist,Lakeshore Vegetation Effects on Avian and Anuran Populations,10.1674/0003-0031-161.1.123
2009,Aquatic Ecology,"Asymmetrical food web responses in trophic-level richness, biomass, and function following lake acidification",10.1007/s10452-008-9169-8
2009,Oecologia,Interactions among invaders: community and ecosystem effects of multiple invasive species in an experimental aquatic system,10.1007/s00442-008-1176-x
2009,Freshwater Biology,The demography of coarse wood in north temperate lakes,10.1111/j.1365-2427.2008.02158.x
2009,ISME Journal,"Can the black box be cracked? The augmentation of microbial ecology by high-resolution, automated sensing technologies",10.1038/ismej.2009.56
2010,Ecological Informatics,A flexible online metadata editing and management system,10.1016/j.ecoinf.2009.08.012
2010,Frontiers in Ecology and the Environment,Perspectives on next-generation technology for environmental sensor networks,10.1890/080130
2010,Frontiers in Ecology and the Environment,Preparing for the future: teaching scenario planning at the graduate level,10.1890/080075
2010,Ecology and Society,Navigating the back loop: Fostering social innovation and transformation in ecosystem management,10.5751/ES-03411-150209
2010,Ecological Monographs,Interacting regime shifts in ecosystems: implication for early warnings,10.1890/09-1824.1
2010,Ecological Applications,Lakeshore zoning has heterogeneous ecological effects: an application of a coupled economic-ecological model,10.1890/09-0722.1
2010,Ecology Letters,Communities contain closely related species during ecosystem disturbance,10.1111/j.1461-0248.2009.01411.x
2010,Ecological Informatics,Advances in environmental information management,10.1016/j.ecoinf.2010.01.001
2010,Ecological Modelling,Using a model selection criterion to identify appropriate complexity in aquatic biogeochemical models,10.1016/j.ecolmodel.2009.10.021
2010,Ecology Letters,Environmental stability and lake zooplankton diversity - contrasting effects of chemical and thermal variability,10.1111/j.1461-0248.2009.01438.x
2010,Biological Invasions,Distribution and community-level effects of the Chinese mystery snail (Bellamya chinensis) in northern Wisconsin lakes,10.1007/s10530-009-9572-7
2011,Frontiers in Ecology and the Environment,An integrated conceptual framework for long-term social–ecological research,10.1890/100068
2011,Oikos,Comparing energetic and dynamic descriptions of a single food web linkage,10.1111/j.1600-0706.2010.18424.x
2012,Landscape and Urban Planning,The ability of zoning and land acquisition to increase property values and maintain largemouth bass growth rates in an amenity rich region,10.1016/j.landurbplan.2012.05.003
2012,Ecological Applications,"Eradication via destratification: whole-lake mixing to selectively remove rainbow smelt, a cold-water invasive species",10.1890/11-1227.1
2012,Wetlands,Drought as a Trigger for Rapid State Shifts in Kettle Ecosystems: Implications for Ecosystem Responses to Climate Change,10.1007/s13157-012-0324-6
2012,Ecosystems,Nutrient Retention and the Problem of Hydrologic Disconnection in Streams and Wetlands,10.1007/s10021-012-9520-8
2012,ISME Journal,Lake microbial communities are resilient after a whole-ecosystem disturbance,10.1038/ismej.2012.56
2013,Oecologia,Food resource effects on diel movements and body size of cisco in north-temperate lakes,10.1007/s00442-013-2719-3
2013,Freshwater Biology,Depth-specific variation in carbon isotopes demonstrates resource partitioning among the littoral zoobenthos,10.1111/fwb.12218
2013,ISME Journal,Metabolic potential of a single cell belonging to one of the most abundant lineages in freshwater bacterioplankton,10.1038/ismej.2012.86
2013,Ecology,"Are rapid transitions between invasive and native species caused by alternative stable states, and does it matter?",10.1890/13-0093.1
2013,ISME Journal,"A decade of seasonal dynamics and co-occurrences within freshwater bacterioplankton communities from eutrophic Lake Mendota, WI, USA",10.1038/ismej.2012.118
2014,Global Change Biology,Ebullitive methane emissions from oxygenated wetland streams,10.1111/gcb.12614
2014,Global Change Biology,Changing forest water yields in response to climate warming: results from long-term experimental watershed sites across North America,10.1111/gcb.12615
2014,ISME Journal,Comparative single-cell genomics reveals potential ecological niches for the freshwater acI Actinobacteria lineage,10.1038/ismej.2014.135
2014,Ecological Modelling,Simulating 2368 temperate lakes reveals weak coherence in stratification phenology,10.1016/j.ecolmodel.2014.07.029
2014,Frontiers in Ecology and the Environment,Completing the data life cycle: using information management in macrosystems ecology research,10.1890/120375
2014,Freshwater Science,Is there light after depth? Distribution of periphyton chlorophyll and productivity in lake littoral zones,10.1086/676315
2014,Proceedings of the Royal Society B: Biological Sciences,Synchronous dynamics of zooplankton competitors prevail in temperate lake ecosystems,10.1098/rspb.2014.0633
2014,Freshwater Biology,"Lake shoreline in the contiguous United States: quantity, distribution and sensitivity to observation resolution",10.1111/fwb.12258
2015,Ecology and Society,"Plausible futures of a social-ecological system: Yahara watershed, Wisconsin, USA",10.5751/ES-07433-200210
2015,Ecosystems,Integrating Landscape Carbon Cycling: Research Needs for Resolving Organic Carbon Budgets of Lakes,10.1007/s10021-014-9826-9
2015,Ecology Letters,Thermodynamic constraints on the utility of ecological stoichiometry for explaining global biogeochemical patterns,10.1111/ele.12487
2015,Ecological Economics,Using an intervention framework to value salient ecosystem services in a stated preference experiment,10.1016/j.ecolecon.2015.03.025
2015,Ecosphere,Importance of landscape heterogeneity in sustaining hydrologic ecosystem services in an agricultural watershed,10.1890/ES15-00312.1
2015,"Annual Review of Ecology, Evolution, and Systematics",Generic Indicators of Ecological Resilience: Inferring the Chance of a Critical Transition,10.1146/annurev-ecolsys-112414-054242
2015,Landscape and Urban Planning,Fragmented water quality governance: Constraints to spatial targeting for nutrient reduction in a Midwestern USA watershed,10.1016/j.landurbplan.2014.12.011
2015,Ecology,Phytoplankton traits predict ecosystem function in a global set of lakes,10.1890/14-2102.1
2016,ISME Journal,Genome-wide selective sweeps and gene-specific sweeps in natural bacterial populations,10.1038/ismej.2015.241
2016,Ecosystem Services,"Is groundwater recharge always serving us well? Water supply provisioning, crop production, and flood attenuation in conflict in Wisconsin, USA",10.1016/j.ecoser.2016.08.007
2016,Proceedings of the Royal Society B: Biological Sciences,Tracking and forecasting ecosystem interactions in real time,10.1098/rspb.2015.2258
2016,ISME Journal,Tuning fresh: radiation through rewiring of central metabolism in streamlined bacteria,10.1038/ismej.2015.260
2016,Ecological Informatics,"Information management at the North Temperate Lakes Long-term Ecological Research site — Successful support of research in a large, diverse, and long running project",10.1016/j.ecoinf.2016.08.007
2016,Oikos,Predicting the occurrence of persistent hotspots in ecosystem variables,10.1111/oik.02262
2016,Ecosphere,Spatial heterogeneity in invasive species impacts at the landscape scale,10.1002/ecs2.1311/supinfo
2016,Aquatic Ecology,Behavioural interseasonal adaptations in Daphnia pulicaria (Crustacea: Cladocera) as induced by predation infochemicals,10.1007/s10452-016-9585-0
2016,Ecological Monographs,"The ecology of methane in streams and rivers: patterns, controls, and global significance",10.1890/15-1027
2016,Ecosphere,Outbreak of an undetected invasive species triggered by a climate anomaly,10.1002/ecs2.1628
2016,Ecology and Society,Local perspectives and global archetypes in scenario development,10.5751/ES-08384-210212
2017,Ecosphere,Spatial early warning signals in a lake manipulation,10.1002/ecs2.1941
2017,Ecology Letters,Ecology under lake ice,10.1111/ele.12699
2017,Global Change Biology,Projected shifts in fish species dominance in Wisconsin lakes under climate change,10.1111/gcb.13462
2017,Ecosphere,Whole-lake invasive crayfish removal and qualitative modeling reveal habitat-specific food web topology,10.1002/ecs2.1647
2017,ISME Journal,Cohesion: a method for quantifying the connectivity of microbial communities,10.1038/ismej.2017.91
2017,Ecosystems,The Influence of Legacy P on Lake Water Quality in a Midwestern Agricultural Watershed,10.1007/s10021-017-0125-0
2017,Biological Invasions,Effects of non-native Asian earthworm invasion on temperate forest and prairie soils in the Midwestern US,10.1007/s10530-016-1264-5
2017,Landscape Ecology,Spatial fit between water quality policies and hydrologic ecosystem services in an urbanizing agricultural landscape,10.1007/s10980-016-0428-0
2017,Ecology Letters,Historical foundations and future directions in macrosystems ecology,10.1111/ele.12717
2017,Ecological Informatics,Mining lake time series using symbolic representation,10.1016/j.ecoinf.2017.03.001
2017,Ecosphere,Pattern and scale in latitude-production relationships for freshwater fishes,10.1002/ecs2.1660
2017,Ecological Modelling,"Meteorological drivers of hypolimnetic anoxia in a eutrophic, north temperate lake",10.1016/j.ecolmodel.2016.10.014
2017,Ecosystems,Flashiness and Flooding of Two Lakes in the Upper Midwest During a Century of Urbanization and Climate Change,10.1007/s10021-016-0042-7
2017,Ecosystems,A Framework for Evaluating Heterogeneity and Landscape-Level Impacts of Non-native Aquatic Species,10.1007/s10021-016-0102-z
2017,Ecohydrology,Estimates of evapotranspiration from contrasting Wisconsin peatlands based on diel water table oscillations,10.1002/eco.1834
2017,Ecological Modelling,"Quantifying indirect groundwater-mediated effects of urbanization on agroecosystem productivity using MODFLOW-AgroIBIS (MAGI), a complete critical zone model",10.1016/j.ecolmodel.2017.06.002
2017,Landscape Ecology,How do land-use legacies affect ecosystem services in United States cultural landscapes?,10.1007/s10980-017-0545-4
2018,Ecosystems,Drainage Ratio as a Strong Predictor of Allochthonous Carbon Budget in Hemiboreal Lakes,10.1007/s10021-018-0304-7
2018,ISME Journal,Contrasting patterns of genome-level diversity across distinct co-occurring bacterial populations,10.1038/s41396-017-0001-0
2018,Ecological Modelling,Dynamic modeling of organic carbon fates in lake ecosystems,10.1016/j.ecolmodel.2018.08.009
2018,Trends in Ecology and Evolution,Abrupt Change in Ecological Systems: Inference and Diagnosis,10.1016/j.tree.2018.04.013
2018,Ecosphere,Can we detect ecosystem critical transitions and signals of changing resilience from paleo-ecological records?,10.1002/ecs2.2438
2018,Ecosphere,Detecting species at low densities: a new theoretical framework and an empirical test on an invasive zooplankton,10.1002/ecs2.2475
2005,Oecologia,"Dynamics of demographically open mutualists: immigration, intraspecific competition, and predation impact goby populations",10.1007/s00442-004-1775-0
2006,Journal of Animal Ecology,Dynamics of mutualist populations that are demographically open,10.1111/j.1365-2656.2006.01145.x
2006,Molecular Ecology,Conservation genetics and the resilience of reef-building corals,10.1111/j.1365-294X.2006.03026.x
2007,Ecology,The effects of landscape structure on space competition and alternative stable states,10.1890/06-1850.1
2007,Ecology,The scale and cause of spatial heterogeneity in strength of temporal density dependence,10.1890/06-0970
2009,Ecological Applications,Symbiont diversity may help coral reefs survive moderate climate change,10.1890/08-0139.1
2009,Environmental Biology of Fishes,The role of microhabitat preference and social organization in determining the spatial distribution of a coral reef fish,10.1007/s10641-008-9377-z
2009,Molecular Ecology Resources,"Isolation and characterization of 13 polymorphic nuclear microsatellite primers for the widespread Indo-Pacific three-spot damselfish, Dascyllus trimaculatus, and closely related D. auripinnis",10.1111/j.1755-0998.2008.02380.x
2009,Ecology,Intraguild predation in a structured habitat: distinguishing multiple-predator effects from competitor effects,10.1890/08-1225.1
2010,Trends in Ecology and Evolution,The future of coral reefs - A microbial perspective,10.1016/j.tree.2009.11.001
2010,Global Change Biology,Conservation management approaches to protecting the capacity for corals to respond to climate change: a theoretical comparison,10.1111/j.1365-2486.2009.02062.x
2010,Biogeosciences,Global variability of phytoplankton functional types from space assessment via the particle size distribution.,10.5194/bg-7-3239-2010
2010,Evolution,"Allopatric divergence and speciation in coral reef fish: the three-spot dascyllus, Dascyllus trimaculatus, species complex.",10.1111/j.1558-5646.2009.00917.x
2010,Oecologia,"Habitat selection, facilitation, and biotic settlement cues affect distribution and performance of coral recruits in French Polynesia",10.1007/s00442-010-1578-4
2011,Theoretical Ecology,Integrate-and-fire models of insolation-driven entrainment of broadcast spawning in corals.,10.1007/s12080-010-0075-z
2011,Oikos,Local interactions drive size dependent space competition between coral and crustose coralline algae.,10.1111/j.1600-0706.2010.18972.x
2011,Oecologia,Benchmarks in organism performance and their use in comparative analyses.,10.1007/s00442-011-2004-2
2011,Journal of Experimental Marine Biology and Ecology,The nature and taxonomic composition of coral symbiomes as drivers of performance limits in scleractinian corals.,10.1016/j.jembe.2011.07.029
2011,Oecologia,Indirect effects of species interactions on habitat provisioning.,10.1007/s00442-011-1912-5
2011,Environmental Biology of Fishes,Fish communities on staghorn coral: effects of habitat characteristics and resident farmerfishes.,10.1007/s10641-011-9802-6
2011,Ecology,"Influence of corallivory, competition, and habitat structure on coral community shifts.",10.1890/11-0108.1
2011,Frontiers in Ecology and the Environment,Improving biogeochemical knowledge through technological innovation,10.1890/100004
2011,Ecology,Habitat biodiversity as a determinant of fish community structure on coral reefs.,10.1890/11-0037.1
2011,Ecological Modelling,Synthesizing units as modeling tool for photosynthesizing organisms with photoinhibition and nutrient limitation.,10.1016/j.ecolmodel.2010.10.008
2011,ISME Journal,Depleted dissolved organic carbon and distinct bacterial communities in the water column of a rapid-flushing coral reef ecosystem.,10.1038/ismej.2011.12
2011,Journal of Experimental Marine Biology and Ecology,The physiological response of reef corals to diel fluctuations in seawater temperature.,10.1016/j.jembe.2010.10.026
2012,Proceedings of the Royal Society B: Biological Sciences,Larger female fish contribute disproportionately more to self-replenishment.,10.1098/rspb.2011.2433
2012,Marine Ecology Progress Series,Coral mutualists enhance fish abundance and diversity through a morphology-mediated facilitation cascade.,10.3354/meps09615
2012,Ecological Modelling,"Size dependence, facilitation, and microhabitats mediate space competition between coral and crustose coralline algae in a spatially explicit model.",10.1016/j.ecolmodel.2012.04.013
2012,Global Change Biology,"Interactive effects of ocean acidification and temperature on two scleractinian corals from Moorea, French Polynesia.",10.1111/j.1365-2486.2012.02695.x
2012,Molecular Ecology Resources,"GeoSymbio: A hybrid, cloud-based web application of global geospatial bioinformatics and ecoinformatics for Symbiodinium-host symbioses.",10.1111/j.1755-0998.2011.03081.x
2012,ISME Journal,An all-taxon microbial inventory of the Moorea coral reef ecosystem.,10.1038/ismej.2011.108
2012,Journal of Experimental Marine Biology and Ecology,Phenotypic plasticity of the coral Porites rus: acclimatization responses to a turbid environment.,10.1016/j.jembe.2012.08.006
2012,Proceedings of the Royal Society B: Biological Sciences,Endosymbiotic flexibility associates with environmental sensitivity in scleractinian corals.,10.1098/rspb.2012.1454
2013,Marine Ecology Progress Series,Skeletal growth of four scleractinian corals is not enhanced by in situ mesozooplankton enrichment.,10.3354/meps10422
2013,Marine Ecology Progress Series,Water-flow mediated oxygen dynamics within massive Porites-algal turf interactions.,10.3354/meps10467
2013,Proceedings of the Royal Society B: Biological Sciences,Coral reef calcifiers buffer their response to ocean acidification using both bicarbonate and carbonate.,10.1126/science.1085046
2013,Proceedings of the Royal Society B: Biological Sciences,"Response to: Coral reef calcification: carbonate, bicarbonate and proton flux under conditions of increasing ocean acidification.",10.1098/rspb.2013.1153
2013,Global Change Biology,"Symbiotic specificity, association patterns, and function determine community responses to global changes: Defining critical research areas for coral-Symbiodinium symbioses.",10.1111/gcb.12320
2013,ISME Journal,Coral and macroalgal exudates vary in neutral sugar composition and differentially enrich reef bacterioplankton lineages.,10.1038/ismej.2012.161
2013,Marine Ecology Progress Series,Determinants of the onset and strength of mutualistic interactions between branching corals and associate crabs.,10.3354/meps10525
2013,Ecology,Predator density and timing of arrival affect reef fish community assembly.,10.1890/11-1983.1
2013,American Naturalist,Ecology and evolution affect network structure in an intimate marine mutualism.,10.1086/670803
2014,Oecologia,How will coral reef fish communities respond to climate-driven disturbances? Insight from landscape-scale perturbations.,10.1007/s00442-014-3011-x
2014,Marine Ecology Progress Series,Effects of sediment depth on algal turf height are mediated by interactions with fish herbivory on a fringing reef.,10.3354/meps11029
2014,Journal of Experimental Marine Biology and Ecology,Effects of irradiance on the response of the coral Acropora pulchra and the calcifying alga Hydrolithon reinboldii to temperature elevation and ocean acidification.,10.1016/j.jembe.2013.12.013
2014,Proceedings of the Royal Society B: Biological Sciences,Pacific-wide contrast highlights resistance of reef calcifiers to ocean acidification.,10.1098/rspb.2014.1339
2014,Marine Ecology Progress Series,Diel pCO2 oscillations modulate the response of the coral Acropora hyacinthus to ocean acidification.,10.3354/meps10690
2014,Journal of Experimental Marine Biology and Ecology,Refuges modulate coral recruitment in the Caribbean and the Pacific.,10.1016/j.jembe.2014.02.009
2014,Ecology,Predation and landscape characteristics independently affect reef fish community organization.,10.1890/12-1441.1
2015,Biogeosciences,Ocean acidification accelerates dissolution of experimental coral reef communities.,10.5194/bg-12-365-2015
2016,Global Change Biology,Framework of barrier reefs threatened by ocean acidification.,10.1111/gcb.13023
2016,Ecosphere,Spatial scale-dependent vertical zonation of coral reef community structure in French Polynesia.,10.1002/ecs2.1342
2016,Proceedings of the Royal Society B: Biological Sciences,Using viromes to predict novel immune proteins in non-model organisms,10.1098/rspb.2016.1200
2016,Ecology Letters,Nutrient loading alters the performance of key nutrient exchange mutualisms.,10.1111/ele.12538
2016,Oecologia,"Distribution, behavior, and condition of herbivorous fishes on coral reefs track algal resources.",10.1007/s00442-015-3418-z
2017,Global Change Biology,Animal pee in the sea: consumer-mediated nutrient dynamics in the world's changing oceans.,10.1111/gcb.13625
2017,Proceedings of the Royal Society B: Biological Sciences,Coral calcifying fluid pH is modulated by seawater carbonate chemistry not solely seawater pH.,10.1098/rspb.2016.1669
2017,Oecologia,Predation risk influences feeding rates but competition structures space use for a common Pacific parrotfish.,10.1007/s00442-017-3857-9
2017,Journal of Experimental Marine Biology and Ecology,The effects of ocean acidification on wound repair in the coral Porites spp.,10.1016/j.jembe.2016.10.001
2017,Marine Ecology Progress Series,Plasticity in lunar timing of larval release of two brooding pocilloporid corals in an internal tide-induced upwelling reef.,10.3354/meps12071
2017,Ecology,Context-dependent landscape of fear: algal density elicits risky herbivory in a coral reef.,10.1002/ecy.1668
2017,Journal of Experimental Marine Biology and Ecology,Differential growth responses to water flow and reduced pH in tropical marine macroalgae.,10.1016/j.jembe.2017.03.009
2017,Journal of Experimental Marine Biology and Ecology,Branches and plates of the morphologically plastic coral Porites rus are insensitive to ocean acidification and warming.,10.1016/j.jembe.2016.10.002
2017,Proceedings of the Royal Society B: Biological Sciences,Lipid consumption in coral larvae differs among sites: a consideration of environmental history in a global ocean change scenario.,10.1098/rspb.2016.2825
2017,Global Change Biology,Shifting paradigms in restoration of the world’s coral reefs.,10.1111/gcb.13647
2018,Ecosphere,Estimates of fish and coral larvae as nutrient subsidies to coral reef ecosystems.,10.1002/ecs2.2216
2018,Ecosphere,Associational refuge facilitates phase shifts to macroalgae in a coral reef ecosystem.,10.1002/ecs2.2272
2018,Ecology,Density-dependence mediates coral assemblage structure.,10.1002/ecy.2511
2018,Biology Letters,Nitrogen enrichment offsets direct negative effects of ocean acidification on a reef-building crustose coralline alga.,10.1098/rsbl.2018.0371
1989,Polar Biology,Temperature Dependence of Inorganic Nitrogen Uptake and Assimilation in Antarctic Sea-Ice Microalgae,10.1007/BF00443231
1993,Polar Biology,Extraction of nematodes from Dry Valley Antarctic soils,10.1007/BF00233139
1995,Polar Biology,Spatial Distribution of Nematodes in Polar Desert Soils of Antarctica,10.1007/BF00238482
1995,Freshwater Biology,"Phytoplankton Nutrient Deficiency in Lakes of the McMurdo Dry Valleys, Antarctica",10.1111/j.1365-2427.1995.tb00882.x
1996,Polar Biology,"Phytoplankton Dynamics in the Stratified Water Column of Lake Bonney, Antarctica. I. Biomass and Productivity During the Winter-Spring Transition",10.1007/BF02329203
1996,Ecology,Microcosms and Soil Ecology: Critical Linkages Between Field Studies and Modelling Food Webs,10.2307/2265494
1997,Ecology,Low-diversity Antarctic soil nematode communities: distribution and response to disturbance,10.1890/0012-9658(1997)078[0363:LDASNC]2.0.CO;2
1997,Polar Biology,"The microbial plankton of Lake Fryxell, southern Victoria Land, Antarctica during the summers of 1992 and 1994",10.1007/s003000050104
1997,Global Change Biology,Open-top Designs for Manipulating Field Temperature in High-Latitude Ecosystems,
1997,Global Change Biology,"The Biogeochemistry of Nitrous Oxide in Permanently Ice-Covered Lakes of the McMurdo Dry Valleys, Antarctica",10.1046/j.1365-2486.1997.00147.x
1998,Microbial Ecology,"Microbial phototrophic, heterotrophic, and diazotrophic activities associated with aggregates in the permanent ice cover of Lake Bonney, Antarctica",10.1007/s002489900109
1998,Microbial Ecology,"Bacterioplankton dynamics in the McMurdo Dry Valley lakes, Antarctica: Production and biomass loss over four seasons",10.1007/s002489900111
1999,Polar Biology,Ciliated protozoa of two antarctic lakes: analysis by quantitative protargol staining and examination of artificial substrates,10.1007/s003000050364
1999,Freshwater Biology,Mixotrophic cryptophytes and their predators in the Dry Valley lakes of Antarctica,10.1046/j.1365-2427.1999.00401.x
1999,Ecosystems,Invertebrate biodiversity in Antarctic Dry Valley soils and sediments,10.1007/s100219900096
2000,Polar Biology,"Distribution of organic carbon and nitrogen in surface soils in the McMurdo Dry Valleys, Antarctica.",10.1007/s003000050017
2000,Polar Biology,Protozoan growth rates in Antarctic lakes,10.1007/s003009900103
2000,Functional Ecology,The use of anhydrobiosis by soil nematodes in the Antarctic Dry Valleys,10.1046/j.1365-2435.2000.00442.x
2001,Ecosystems,The influence of soil biodiversity on hydrological pathways and the transfer of materials between terrestrial and aquatic ecosystems,10.1007/s10021-001-0020-5
2001,Global Change Biology,"Organic carbon cycling in Taylor Valley, Antarctica: Quantifying soil reservoirs and soil respiration",10.1046/j.1365-2486.2001.00393.x
2001,Ecosystems,"Biodiversity in critical transition zones between terrestrial freshwater and marine soils and sediments: processes, linkages, and management implications.",10.1007/s10021-001-0103-3
2002,Ecosystems,"Trends in resin and KCl-extractable soil nitrogen across landscape gradients in Taylor Valley, Antarctica",10.1007/s10021-001-0072-6
2002,Freshwater Biology,The balance between photosynthesis and grazing in Antarctic mixotrophic cryptophytes during summer,10.1046/j.1365-2427.2002.00950.x
2003,Polar Biology,"Organic matter and soil biota of upland wetlands in Taylor Valley, Antarctica",10.1007/s00300-003-0524-x
2004,Microbial Ecology,"The Occurrence of Lysogenic Bacteria and Microbial Aggregates in the Lakes of the McMurdo Dry Valleys, Antarctica",10.1007/s00248-003-1007-x
2004,Ecology Letters,"Detritus, trophic dynamics and biodiversity.",10.1111/j.1461-0248.2004.00606.x
2004,Polar Biology,Gradient analysis of cryoconite ecosystems from two Polar glaciers,10.1007/s00300-003-0580-2
2004,Basic and Applied Ecology,Trophic interactions in a changing world: modelling aboveground-belowground interactions,10.1016/j.baae.2004.09.006
2005,Polar Biology,Distribution and diversity of soil protozoa in the McMurdo Dry Valleys of Antarctica,10.1007/s00300-005-0006-4
2006,Polar Biology,Salt tolerance and survival thresholds for two species of Antarctic soil nematodes,10.1007/s00300-005-0101-6
2006,Polar Biology,"Wind dispersal of soil invertebrates in the McMurdo Dry Valleys, Antarctica",10.1007/s00300-005-0061-x
2007,Polar Biology,"The southernmost worm, Scottnema lindsayae (Nematoda): diversity, dispersal and ecological stability.",10.1007/s00300-006-0241-3
2007,Ecosystems,Mesoscale dynamics of ephemeral wetlands in the Antarctic Dry Valleys: Implications to production and distribution of organic matter,10.1007/s10021-006-9005-8
2008,Conservation Biology,"Effects of Human Trampling on Populations of Soil Fauna in the McMurdo Dry Valleys, Antarctica.",10.1111/j.1523-1739.2008.01034.x
2008,Global Change Biology,Decline in a dominant invertebrate species contributes to altered carbon cycling in a low-diversity soil ecosystem,10.1111/j.1365-2486.2008.01611.x
2008,Ecological Monographs,Glacial ecosystems,10.1890/07-0187.1
2009,Oikos,Where’s the ecology in molecular ecology?,10.1111/j.1600-0706.2009.17557.x
2009,Frontiers in Ecology and the Environment,Managing for ocean biodiversity to sustain marine ecosystem services,10.1890/070135
2009,Polar Biology,"Terrestrial mesofauna in above- and below-ground habitats: Taylor Valley, Antarctica",10.1007/s00300-009-0639-9
2009,Ecosystems,"Landscape Distribution of Microbial Activity in the McMurdo Dry Valleys: Linked Biotic Processes, Hydrology, and Geochemistry in a Cold Desert Ecosystem",10.1007/s10021-009-9242-8
2010,Polar Biology,Experimentally increased snow accumulation alters soil moisture and animal community structure in a polar desert,10.1007/s00300-010-0766-3
2010,Ecological Modelling,"Physiochemical properties influencing biomass abundance and primary production in Lake Hoare, Antarctica",10.1016/j.ecolmodel.2009.12.015
2011,Polar Research,Implications of meltwater pulse events for soil biology and biogeochemical cycling in a polar desert,10.3402/polar.v30i0.14555
2011,ISME Journal,Protist diversity in a permanently ice-covered Antarctic Lake during the polar night transition,10.1038/ismej.2011.23
2011,Polar Biology,Microclimate impacts of passive warming methods in Antarctica: implications for climate change studies,10.1007/s00300-011-0997-y
2011,Polar Biology,Global change and Antarctic terrestrial biodiversity,10.1007/s00300-011-1108-9
2011,Polar Biology,Antarctic nematode communities: observed and predicted responses to climate change,10.1007/s00300-011-1021-2
2012,Pedobiologia,Thawing permafrost alters nematode populations and soil habitat characteristics in an Antarctic polar desert ecosystem,10.1016/j.pedobi.2011.11.001
2012,Frontiers in Ecology and the Environment,Leaving scientific footprints,10.1890/1540-9295-10.9.502
2013,Ecosphere,Environmental controls over bacterial communities in polar desert soils,10.1890/ES13-00048.1
2013,Ecology Letters,The future of soil invertebrate communities in polar regions: different climate change responses in the Arctic and Antarctic?,10.1111/ele.12058
2013,Ecosphere,Local and regional influences over soil microbial metacommunities in the Transantarctic Mountains,10.1890/ES13-00136.1
2014,Polar Biology,Microbial biomass and respiration responses to nitrogen fertilization in a polar desert,10.1007/s00300-014-1459-0
2014,Ecological Monographs,The spatial structure of Antarctic biodiversity,10.1890/12-2216.1
2014,Global Ecology and Biogeography,Global-scale patterns of assemblage structure of soil nematodes in relation to climate and ecosystem properties,10.1111/geb.12177
2015,Ecosystems,"Life in the Main Channel: Long-Term Hydrologic Control of Microbial Mat Abundance in McMurdo Dry Valley Streams, Antarctica.",10.1007/s10021-014-9829-6
2015,Proceedings of the Royal Society B: Biological Sciences,Niche and metabolic principles explain patterns of diversity and distribution: theory and a case study with soil bacterial communities,10.1098/rspb.2014.2630
2015,Ecosphere,Fostering ecological data sharing: collaborations in the International Long Term Ecological Research Network,10.1890/ES14-00281.1
2015,Polar Biology,"Cyanobacterial diversity in benthic mats of the McMurdo Dry Valley lakes, Antarctica",10.1007/s00300-015-1669-0
2016,Biogeosciences,"Stream biogeochemical and suspended sediment responses to permafrost degradation in stream banks in Taylor Valley, Antarctica",10.5194/bg-13-1723-2016
